year,Anomaly
1999,0.89
2000,0.62
2001,0.62
2002,0.82
2003,0.95
2004,0.88
2005,0.76
2006,1.12
2007,1.11
2008,1.06
2009,0.97
2010,0.97
2011,1.18
2012,1.06
2013,1.08
2014,1.05
2015,1.1
2016,1.38
2017,1.63
2018,1.44
2019,1.34
2020,1.55
2021,1.61
2022,1.38
2023,1.39
2024,1.85
