year,month,monthly average,de-season alized,number of days,standard deviation of days,unc of monthly mean,
2010,9,387.03,390.32,29,0.55,0.19,
2010,10,387.43,390.72,31,0.27,0.09,
2010,11,388.87,390.98,29,0.42,0.15,
2010,12,389.99,390.8,29,0.47,0.17,
2011,1,391.5,391.19,29,0.88,0.31,
2011,2,392.05,391.12,28,0.47,0.17,
2011,3,392.8,391.27,29,0.97,0.35,
2011,4,393.44,390.83,28,0.73,0.26,
2011,5,394.41,391.24,29,0.93,0.33,
2011,6,393.95,391.64,28,0.45,0.16,
2011,7,392.72,392.24,26,0.71,0.26,
2011,8,390.33,392.04,27,0.42,0.15,
2011,9,389.28,392.6,26,0.31,0.12,
2011,10,389.19,392.53,30,0.17,0.06,
2011,11,390.48,392.64,28,0.26,0.1,
2011,12,392.06,392.86,26,0.37,0.14,
2012,1,393.31,393.07,30,0.77,0.27,
2012,2,394.04,393.2,26,1.19,0.45,
2012,3,394.59,392.99,30,0.63,0.22,
2012,4,396.38,393.65,29,0.59,0.21,
2012,5,396.93,393.73,30,0.5,0.17,
2012,6,395.91,393.63,28,0.59,0.21,
2012,7,394.56,394.12,26,0.3,0.11,
2012,8,392.59,394.37,30,0.52,0.18,
2012,9,391.32,394.75,26,0.42,0.16,
2012,10,391.27,394.64,28,0.23,0.08,
2012,11,393.2,395.25,29,0.53,0.19,
2012,12,394.57,395.27,29,0.44,0.16,
2013,1,395.78,395.62,28,0.6,0.22,
2013,2,397.03,396.23,25,0.57,0.22,
2013,3,397.66,396.07,30,0.71,0.25,
2013,4,398.64,395.79,22,0.59,0.24,
2013,5,400.02,396.64,28,0.37,0.13,
2013,6,398.81,396.48,26,0.43,0.16,
2013,7,397.51,397.12,21,0.52,0.22,
2013,8,395.39,397.27,27,0.45,0.16,
2013,9,393.72,397.24,26,0.35,0.13,
2013,10,393.9,397.25,28,0.16,0.06,
2013,11,395.36,397.35,30,0.6,0.21,
2013,12,397.03,397.78,30,0.48,0.17,
2014,1,398.04,397.74,31,0.49,0.17,
2014,2,398.27,397.45,27,0.51,0.19,
2014,3,399.91,398.37,22,0.84,0.34,
2014,4,401.51,398.63,26,0.5,0.19,
2014,5,401.96,398.56,22,0.51,0.21,
2014,6,401.43,399.1,28,0.36,0.13,
2014,7,399.27,398.85,25,0.55,0.21,
2014,8,397.18,399.07,22,0.28,0.12,
2014,9,395.54,399.11,21,0.54,0.23,
2014,10,396.16,399.58,24,0.73,0.29,
2014,11,397.4,399.49,27,0.37,0.14,
2014,12,399.08,399.81,29,0.6,0.21,
2015,1,400.18,399.92,30,0.55,0.19,
2015,2,400.55,399.77,28,0.63,0.23,
2015,3,401.74,400.22,24,1.02,0.4,
2015,4,403.35,400.46,26,0.86,0.32,
2015,5,404.15,400.7,30,0.32,0.11,
2015,6,402.97,400.65,29,0.47,0.17,
2015,7,401.46,401.11,24,0.57,0.22,
2015,8,399.11,401.04,28,0.74,0.27,
2015,9,397.82,401.43,25,0.32,0.12,
2015,10,398.49,401.89,28,0.56,0.2,
2015,11,400.27,402.24,25,0.58,0.22,
2015,12,402.06,402.72,30,0.67,0.23,
2016,1,402.73,402.45,27,0.56,0.21,
2016,2,404.25,403.4,25,1.11,0.43,
2016,3,405.06,403.54,28,0.81,0.29,
2016,4,407.6,404.77,23,1.04,0.41,
2016,5,407.9,404.41,29,0.5,0.18,
2016,6,406.99,404.59,26,0.6,0.23,
2016,7,404.59,404.24,28,0.88,0.32,
2016,8,402.45,404.41,24,0.6,0.23,
2016,9,401.23,404.85,25,0.44,0.17,
2016,10,401.79,405.23,29,0.3,0.11,
2016,11,403.72,405.74,27,0.72,0.26,
2016,12,404.64,405.33,29,0.44,0.16,
2017,1,406.36,406.04,27,0.68,0.25,
2017,2,406.66,405.8,26,0.71,0.27,
2017,3,407.54,406.05,24,1.03,0.4,
2017,4,409.22,406.37,26,0.86,0.32,
2017,5,409.89,406.37,27,0.57,0.21,
2017,6,409.08,406.68,26,0.54,0.2,
2017,7,407.33,407.01,28,0.61,0.22,
2017,8,405.32,407.31,29,0.32,0.12,
2017,9,403.57,407.17,26,0.37,0.14,
2017,10,403.82,407.23,27,0.3,0.11,
2017,11,405.31,407.36,26,0.41,0.15,
2017,12,407,407.71,31,0.57,0.2,
2018,1,408.15,407.83,29,0.55,0.19,
2018,2,408.52,407.61,28,0.52,0.19,
2018,3,409.59,408.06,29,0.65,0.23,
2018,4,410.45,407.65,21,0.9,0.38,
2018,5,411.44,407.98,24,0.86,0.33,
2018,6,410.99,408.6,29,0.61,0.22,
2018,7,408.9,408.6,27,0.46,0.17,
2018,8,407.16,409.17,31,0.28,0.1,
2018,9,405.71,409.3,29,0.45,0.16,
2018,10,406.19,409.56,30,0.32,0.11,
2018,11,408.21,410.24,24,0.56,0.22,
2018,12,409.27,409.99,30,0.5,0.17,
2019,1,411.03,410.69,26,1.26,0.47,
2019,2,411.96,410.97,27,1.14,0.42,
2019,3,412.18,410.71,28,1.12,0.4,
2019,4,413.54,410.92,27,0.6,0.22,
2019,5,414.86,411.47,28,0.5,0.18,
2019,6,414.15,411.74,27,0.36,0.13,
2019,7,411.96,411.64,25,0.81,0.31,
2019,8,410.17,412.1,29,0.32,0.11,
2019,9,408.76,412.26,29,0.35,0.13,
2019,10,408.74,412.09,29,0.31,0.11,
2019,11,410.47,412.5,26,0.4,0.15,
2019,12,411.97,412.71,31,0.4,0.14,
2020,1,413.59,413.22,29,0.73,0.26,
2020,2,414.32,413.4,28,0.69,0.25,
2020,3,414.72,413.35,26,0.32,0.12,
2020,4,416.42,413.92,28,0.65,0.24,
2020,5,417.28,413.98,27,0.61,0.23,
2020,6,416.58,414.15,27,0.44,0.16,
2020,7,414.58,414.19,30,0.57,0.2,
2020,8,412.75,414.6,25,0.25,0.1,
2020,9,411.5,414.9,29,0.31,0.11,
2020,10,411.48,414.79,30,0.22,0.08,
2020,11,413.1,415.11,27,0.81,0.3,
2020,12,414.23,414.91,30,0.48,0.17,
2021,1,415.49,415.2,29,0.44,0.16,
2021,2,416.72,415.79,28,1.02,0.37,
2021,3,417.61,416.17,28,0.86,0.31,
2021,4,419.01,416.51,24,1.12,0.44,
2021,5,419.09,415.84,28,0.9,0.32,
2021,6,418.93,416.49,29,0.65,0.23,
2021,7,416.9,416.44,31,0.71,0.24,
2021,8,414.42,416.25,25,0.74,0.28,
2021,9,413.26,416.65,27,0.29,0.11,
2021,10,413.9,417.17,29,0.35,0.12,
2021,11,414.97,417.01,30,0.36,0.13,
2021,12,416.67,417.45,28,0.48,0.17,
2022,1,418.13,417.84,30,0.72,0.25,
2022,2,419.24,418.31,27,0.92,0.34,
2022,3,418.76,417.32,30,0.78,0.27,
2022,4,420.19,417.69,28,0.86,0.31,
2022,5,420.97,417.71,31,0.75,0.26,
2022,6,420.94,418.5,28,0.3,0.11,
2022,7,418.85,418.4,27,0.57,0.21,
2022,8,417.15,418.98,27,0.37,0.13,
2022,9,415.91,419.29,28,0.41,0.15,
2022,10,415.74,419.01,30,0.27,0.1,
2022,11,417.47,419.51,25,0.52,0.2,
2022,12,418.99,419.77,24,0.57,0.22,
2023,1,419.47,419.18,31,0.4,0.14,
2023,2,420.31,419.38,23,0.7,0.28,
2023,3,420.99,419.56,30,0.74,0.26,
2023,4,423.31,420.81,27,0.56,0.21,
2023,5,424,420.75,31,0.7,0.24,
2023,6,423.68,421.24,29,0.57,0.2,
2023,7,421.83,421.37,21,0.48,0.2,
2023,8,419.68,421.51,21,0.45,0.19,
2023,9,418.5,421.89,18,0.3,0.14,
2023,10,418.82,422.09,27,0.47,0.17,
2023,11,420.46,422.5,21,0.91,0.38,
2023,12,421.86,422.63,20,0.69,0.29,
2024,1,422.8,422.52,27,0.7,0.26,
2024,2,424.55,423.63,22,1.24,0.51,
2024,3,425.38,423.95,22,0.99,0.4,
2024,4,426.51,424.01,22,0.99,0.4,
2024,5,426.9,423.64,29,0.76,0.27,
2024,6,426.91,424.47,20,0.65,0.28,
2024,7,425.55,425.1,24,0.69,0.27,
2024,8,422.99,424.82,22,1.08,0.44,
2024,9,422.03,425.42,18,0.41,0.18,
2024,10,22,0.35,0.14,,,
422.38,425.65,,,,,,
